School ID,School Name,ncessch,school_id,school_name,leaid,latitude,longitude,census_tract,college_enroll_pct,salaries_crdc,free_or_reduced_price_lunch,teachers_certified_fte_crdc,counselors_fte_crdc,law_enforcement_fte_crdc,enrl_AP_crdc,FY 2017 Ending Budget,food_stamps,above_pov_rate,internet_rate,emp_rate_25_64,median_earnings,ds_pm_pred
610383,SOCIAL JUSTICE HS,170993005793,5793,School of Social Justice High School,1709930,41.834912,-87.735753,17031830500,0.7140000000000001,1501587.875,279.0,21.5,1.0,1.0,82,3701643,256,69.4,76.86567164179104,90.4,22264,72.0762
610385,MULTICULTURAL HS,170993005794,5794,Multicultural Academy Scholarshp High School,1709930,41.835448,-87.735546,17031830500,0.625,1265312.875,220.0,19.5,1.0,0.0,18,2986394,256,69.4,76.86567164179104,90.4,22264,72.0762
610304,PHOENIX MILITARY HS,170993004715,4715,Phoenix Military Academy High School,1709930,41.879116,-87.688418,17031280800,0.7879999999999999,2881879.25,501.0,28.0,2.0,1.0,271,6194710,141,74.9,56.78670360110804,75.2,20208,71.1502
610244,CLARK HS,170993001210,1210,Clark  G R Elementary School,1709930,41.868021,-87.77017,17031831400,0.787,1442841.75,220.0,16.0,1.0,0.0,0,6236699,301,76.7,58.01447776628749,90.5,22591,72.3807
609734,TAFT HS,170993001153,1153,Taft High School,1709930,41.984656,-87.791426,17031100300,0.785,14759672.0,1836.0,190.0,9.0,2.0,817,25640147,74,94.4,62.36920777279522,98.6,46705,72.3655
609756,CURIE HS,170993001198,1198,Curie Metropolitan High School,1709930,41.801913,-87.722181,17031570400,0.7709999999999999,14787160.0,2716.0,187.5,9.0,4.0,537,27934553,71,84.4,55.42857142857143,88.2,23170,71.5503
400022,CHIARTS HS,170993006058,6058,Chicago High School for the Arts,1709930,41.899534,-87.695034,17031351000,0.762,3247853.75,275.0,39.0,2.0,0.0,255,5879136,136,74.5,81.32762312633834,94.3,45978,69.1639
610390,RICKOVER MILITARY HS,170993005078,5078,Rickover Naval Academy High School,1709930,41.98902,-87.666421,17031030500,0.755,3152579.5,498.0,33.0,3.0,0.0,144,5715956,116,90.6,93.01675977653632,98.0,50615,70.00489999999999
609730,SENN HS,170993001114,1114,Senn High School,1709930,41.989094,-87.666773,17031030500,0.753,7838618.5,1178.0,104.0,5.0,0.0,246,13148251,116,90.6,93.01675977653632,98.0,50615,70.00489999999999
609679,PROSSER HS,170993000681,681,Prosser Career Academy High School,1709930,41.91938,-87.761802,17031191200,0.726,6643762.0,1292.0,85.7,3.5,0.0,286,13656595,211,69.8,53.44129554655871,96.1,22686,72.4929
610357,SPRY HS,170993005677,5677,Spry Community Links High School,1709930,41.848607,-87.697784,17031301100,0.721,1114212.0,126.0,14.0,1.0,1.0,52,2116249,367,64.5,50.0,86.2,21376,71.8057
609695,AMUNDSEN HS,170993000587,587,Amundsen High School,1709930,41.975232,-87.680089,17031040402,0.7070000000000001,6422065.5,1023.0,75.0,3.0,0.0,45,11637203,140,93.1,96.4501815248084,97.3,57849,71.267
609741,HUBBARD HS,170993000889,889,Hubbard High School,1709930,41.780103,-87.718726,17031650100,0.7040000000000001,8139949.5,1715.0,103.0,5.0,0.0,407,16741626,332,74.0,64.6766169154229,88.9,19429,70.4545
609713,HYDE PARK HS,170993000893,893,Hyde Park Academy High School,1709930,41.78211,-87.587269,17031420100,0.698,4205745.0,839.0,54.0,2.0,2.0,43,8565506,354,65.0,63.37837837837837,92.9,24175,68.7334
609724,MATHER HS,170993000977,977,Mather High School,1709930,41.988119,-87.701409,17031020701,0.698,7191860.5,1278.0,94.0,5.0,0.0,355,14017049,55,92.8,86.34146341463415,95.5,35982,71.7018
609739,WASHINGTON HS,170993001189,1189,Washington G High School,1709930,41.687525,-87.53905,17031520600,0.6970000000000001,6530511.5,1327.0,94.0,4.0,4.0,285,12888310,94,83.3,57.42821473158551,87.1,26359,67.4711
609727,PHILLIPS HS,170993001061,1061,Phillips Academy High School,1709930,41.824429,-87.619904,17031839600,0.696,3086816.0,595.0,40.0,2.0,0.0,56,6817004,192,83.2,58.08917197452229,89.3,42038,69.4785
609718,KENNEDY HS,170993000924,924,Kennedy High School,1709930,41.790206,-87.780788,17031561100,0.6940000000000001,7503292.0,1266.0,108.0,5.0,0.0,213,15442674,177,96.2,74.90676611614278,94.1,40117,71.803
