schoolid_cps,schoolname_cps,fullname_cps,schoolname2_cps,isbe_name_cps,street_number_cps,street_direction_cps,street_name_cps,city_cps,state_cps,zip_cps,cps_unit_cps,oracleid_cps,school_category_cps,community_area_number_cps,community_area_cps,geographicarea_cps,geographic_area_number_cps,cook_county_district_cps,census_block_cps,latitude_cps,longitude_cps,ncessch_num_cps,ncessch_cps,census_tract_cps
610112,Parker,Francis W Parker Elementary Community Academy,Parker,Parker Elem Community Academy,6800,S,Stewart Ave,Chicago,IL,60621,5270.0,31181,ES,68.0,Englewood,Englewood,4.0,3.0,170316812003013,41.8273827043,-87.6197802794,170993001019,_170993001019,17031681200
400070,Prologue HS,Prologue Early College High School,Prologue HS,Prologue Early College CONTR HS,1135,N,Cleaver Rd,Chicago,IL,60622,1135.0,66491,HS,24.0,West Town,Near North,10.0,1.0,170312420003000,41.9028970912,-87.6637407343,170993005932,_170993005932,17031242000
610543,Solorio HS,Eric Solorio Academy High School,Solorio HS,Zaragoza High School,5400,S,St Louis Ave,Chicago,IL,60632,8550.0,46101,HS,63.0,Gage Park,McKinley Park,17.0,7.0,170316303002008,41.940043132,-87.7248117416,,_,17031630300
609950,Ortiz De Dominguez,Josefa Ortiz De Dominguez Elementary School,Ortiz De Dominguez,Ortiz De Dominguez Elem School,3000,S,Lawndale Ave,Chicago,IL,60623,3630.0,23411,ES,30.0,South Lawndale,Pilsen - Little Village,16.0,7.0,170313017021006,41.8133044604999,-87.6433075667,170993001610,_170993001610,17031301702
610026,Kinzie,John H Kinzie Elementary School,Kinzie,Kinzie Elem School,5625,S,Mobile Ave,Chicago,IL,60638,4330.0,24071,ES,56.0,Garfield Ridge,MDW,7.0,11.0,170315611006005,42.0036409951,-87.6681856826999,170993000890,_170993000890,17031561100
609768,Hope HS,Hope College Preparatory High School,Hope HS,Hope College Prep High School,5515,S,Lowe Ave,Chicago,IL,60621,1940.0,49091,HS,68.0,Englewood,Englewood,4.0,2.0,170318347003007,41.8526670963,-87.6636957483,170993004266,_170993004266,17031834700
609709,Gage Park HS,Gage Park High School,Gage Park HS,Gage Park High School,5630,S,Rockwell St,Chicago,IL,60629,1340.0,46141,HS,63.0,Gage Park,McKinley Park,17.0,7.0,170318351002004,41.7697134173999,-87.6371893711999,170993000809,_170993000809,17031835100
610342,Sabin,Albert R Sabin Elementary Magnet School,Sabin,Sabin Elem Magnet School,2216,W,Hirsch St,Chicago,IL,60622,7790.0,29371,ES,24.0,West Town,Humboldt Park,21.0,12.0,170312412001006,41.7589252626,-87.6491800499999,170993004916,_170993004916,17031241200
609921,Telpochcalli,Telpochcalli Elementary School,Telpochcalli,Telpochcalli Elem School,2832,W,24th Blvd,Chicago,IL,60623,3380.0,23231,ES,30.0,South Lawndale,Pilsen - Little Village,16.0,7.0,170318407002011,41.7851833424,-87.6085962384999,170993001613,_170993001613,17031840700
609715,Kelly HS,Thomas Kelly High School,Kelly HS,Kelly High School,4136,S,California Ave,Chicago,IL,60632,1400.0,46181,HS,58.0,Brighton Park,McKinley Park,17.0,7.0,170315805012008,41.7537488720999,-87.6016906389999,170993000920,_170993000920,17031580501
400131,Yccs Chtr - Campos,YCCS-Dr. Pedro Albizu Campos Puerto Rican HS,Yccs Chtr - Campos,Youth Connections Charter HS,2739,W,Division St,Chicago,IL,60622,9601.0,66615,HS,24.0,West Town,Humboldt Park,21.0,8.0,170312426002001,41.9028771377999,-87.6960063547,170993003473,_170993003473,17031242600
609900,Curtis,George W Curtis Elementary School,Curtis,Curtis Elem School,32,E,115th St,Chicago,IL,60628,3160.0,23061,ES,49.0,Roseland,Far South Side,22.0,5.0,170314914002028,41.7743930167,-87.7079518381,170993000650,_170993000650,17031491400
610209,Volta,Alessandro Volta Elementary School,Volta,Volta Elem School,4950,N,Avers Ave,Chicago,IL,60625,6270.0,25681,ES,14.0,Albany Park,Albany Irving,27.0,12.0,170311403021002,41.7208232142999,-87.6655229337,170993001138,_170993001138,17031140302
610082,Mount Greenwood,Mount Greenwood Elementary School,Mount Greenwood,Mount Greenwood Elem School,10841,S,Homan Ave,Chicago,IL,60655,4940.0,24591,ES,74.0,Mount Greenwood,Beverly,3.0,11.0,170317403002009,41.9490307347999,-87.6515741720999,170993000974,_170993000974,17031740300
609695,Amundsen HS,Roald Amundsen High School,Amundsen HS,Amundsen High School,5110,N,Damen Ave,Chicago,IL,60625,1210.0,46031,HS,4.0,Lincoln Square,Ravenswood,30.0,12.0,170310404022002,41.8900046421,-87.7073328694999,170993000587,_170993000587,17031040402
