Unit,Unit Name,FY 2016 Ending Budget,FY 2017 Ending Budget,FY 2018 Proposed Budget,Budget ,FY 2016 Budgeted Positions,FY 2017 Budgeted Positions,FY 2018 Approved Positions,Positions ,
25811,Daniel S Wentworth School,"5,868,695","5,540,886","5,117,539","-423,347",61.5,60,55.5,-4.5,5
25791,Daniel Webster School,"3,652,134","3,568,552","3,370,719","-197,833",41,38.5,37,-1.5,5
53091,David G Farragut Career Academy High School,"10,607,135","10,052,878","8,786,491","-1,266,388",117.9,106.7,98,-8.7,5
69566,Daystar School,"152,453","62,850",0,"-62,850",0,0,0,0,5
69363,De La Salle Institute B,"10,780","3,591",0,"-3,591",0,0,0,0,5
69367,DePaul College Prep,"117,832","111,584",0,"-111,584",0,0,0,0,5
10825,Department of Personalized Learning,"4,138,802","1,837,959","2,612,997","775,038",16,8,8,0,5
46521,Devry University Advantage Academy,"2,269,119","2,365,254","2,195,731","-169,522",12.5,12.5,12.5,0,5
22951,Dewey Academy Of Multicultural Studies,"3,977,192","4,058,726","4,119,185","60,459",48.5,50.5,49.5,-1,5
22751,Dewitt Clinton School,"8,257,548","8,553,479","8,510,155","-43,323",84,82,89,7,5
26921,Disney II Magnet School,"8,597,561","9,525,974","8,965,571","-560,403",90,97.5,102.5,5,5
11675,Diverse Learner Related Services Providers - City Wide,"140,536,718","142,480,884","142,303,570","-177,313","1,300.50","1,296.50","1,296.50",0,5
11610,Diverse Learner Supports & Services,"8,321,020","7,601,634","7,889,249","287,615",74,55,55,0,5
22981,Dodge Renaissance Academy,"1,358,725","2,671",0,"-2,671",20,0,0,0,5
11951,Dodge-Garfield Park,0,"22,398",0,"-22,398",0,0,0,0,5
24571,Donald L Morrill Mathematics & Science Specialty School,"6,568,905","6,406,165","6,064,253","-341,912",67.5,69,66,-3,5
25591,Douglas Taylor Elementary School,"4,653,476","4,694,402","4,579,739","-114,663",48,48,46,-2,5
22581,Dr Jorge Prieto Math and Science Academy,"8,544,836","8,487,950","8,219,102","-268,848",89.5,90.5,85,-5.5,5
26371,Dr. Martin Luther King Jr. Academy of Social Justice,"2,927,604","2,804,615","2,626,967","-177,647",30.5,32,29.5,-2.5,5
46541,DuSable Multiplex,"67,208","193,530",0,"-193,530",0,0,0,0,5
53021,Dunbar Vocational Career Academy,"9,193,456","7,836,177","6,028,334","-1,807,843",88.5,75,57,-18,5
26831,Durkin Park School,"5,353,711","5,673,951","5,709,999","36,047",54.5,56,59.5,3.5,5
26051,Dvorak Technology Academy,"4,294,474","3,874,765","4,057,085","182,320",55,52,51,-1,5
66021,Dyett High School,"5,183","11,891",0,"-11,891",0,0,0,0,5
12693,ECIA Projects,"1,129,795","108,562",0,"-108,562",0,0,0,0,5
63081,EPIC Academy,"5,361,288","5,988,562","6,020,800","32,238",2,2,2,0,5
11360,Early Childhood Development,"1,379,203","1,091,579","887,505","-204,074",14,10,7,-3,5
11385,Early Childhood Development - City Wide,"73,766,480","78,467,280","72,472,927","-5,994,352",142,106,114,8,5
13725,Early College and Career,"3,225,075","3,632,375","2,698,117","-934,258",32,29,25,-4,5
13727,Early College and Career - City Wide,"6,273,180","6,210,546","12,177,345","5,966,800",4,4,8,4,5
68010,Eckersall Stadium,0,"14,426",0,"-14,426",0,0,0,0,5
29261,Edgar Allan Poe Classical School,"1,947,024","2,009,365","2,001,868","-7,497",19,21,20,-1,5
23071,Edgebrook School,"3,579,013","3,666,756","3,550,480","-116,275",36,38.5,38,-0.5,5
28081,Edison Park Elementary,"4,138,303","4,713,039","4,715,062","2,024",46.5,51,53.5,2.5,5
22411,Edmund Burke Elementary School,"5,859,265","5,726,667","4,922,851","-803,816",53,57,60.5,3.5,5
12670,Education General - City Wide,"82,614,837","-196,781,887","120,648,709","316,430,596",388,246,474.7,228.7,5
23101,Edward (Duke) K Ellington School,"7,212,275","6,716,722","6,017,472","-699,250",73,72,61,-11,5
22911,Edward C Delano School,46,46,0,-46,0,0,0,0,5
22771,Edward Coles Model For Excellence School,"4,443,786","4,239,682","3,955,004","-284,678",46,44,42,-2,5
23141,Edward Everett Elementary School,"2,406,058","2,098,083","2,304,463","206,380",26.5,26,27,1,5
25491,Edward F Dunne School,"2,810,576","2,712,257","2,522,197","-190,060",25.5,28,24,-4,5
26531,Edward Franklin Frazier School,500,0,0,0,0,0,0,0,5
26431,Edward H White,"2,058,156","1,975,866","1,789,764","-186,102",20,22.5,19.5,-3,5
23951,Edward Jenner Academy Of The Arts,"3,420,550","3,263,071","2,677,444","-585,627",31,34,29,-5,5
23911,Edward N Hurley School,"6,717,437","6,826,682","6,495,359","-331,322",62.5,65.5,64,-1.5,5
53121,Edward Tilden Career Commmunity Academy,"4,686,813","4,478,030","3,855,879","-622,151",54.5,51,46,-5,5
46131,Edwin G. Foreman College and Career Academy,"11,860,198","10,672,391","8,672,778","-1,999,613",131,96.5,84,-12.5,5
25841,Eli Whitney School,"8,581,196","8,427,748","8,413,288","-14,460",91.5,91,87,-4,5
25901,Elihu Yale School,250,0,0,0,0,0,0,0,5
22681,Eliza Chappell Elementary School,"5,353,536","5,808,053","5,577,230","-230,823",61.5,61.5,63,1.5,5
25561,Elizabeth H Sutherland School,"5,434,095","5,172,262","4,742,141","-430,121",54,51,49,-2,5
25921,Ella Flagg Young School,"8,240,910","7,757,918","7,162,195","-595,723",81,80,70,-10,5
53051,Ellen H Richards Career Academy,"3,851,779","3,326,017","3,011,129","-314,887",44.5,35,33,-2,5
24511,Ellen Mitchell School,"3,423,486","3,613,481","3,405,077","-208,404",37.5,37.5,37,-0.5,5
47031,Emil G Hirsch Metropolitan High School,"3,868,731","3,646,071","2,455,633","-1,190,438",33,31,27,-4,5
23611,Emiliano Zapata Academy,"7,562,352","7,399,243","6,415,399","-983,844",81,79,72,-7,5
24441,Emmit Louis Till Math and Science Academy,"4,022,242","3,423,873","3,370,472","-53,400",41,36,36,0,5
25631,Enrico Tonti School,"8,708,526","8,482,592","8,366,979","-115,613",90,88,88,0,5
69094,Epiphany School,"190,865","99,962",0,"-99,962",0,0,0,0,5
