Unit,Unit Name,FY 2016 Ending Budget,FY 2017 Ending Budget,FY 2018 Proposed Budget,Budget ,FY 2016 Budgeted Positions,FY 2017 Budgeted Positions,FY 2018 Approved Positions,Positions ,
69038,St Ann School,"94,471","51,764",0,"-51,764",0,0,0,0,5
69049,St Barbara,"38,092","21,021",0,"-21,021",0,0,0,0,5
69050,St Barnabas School,"4,944","1,593",0,"-1,593",0,0,0,0,5
69051,St Bartholomew School,"99,778","54,071",0,"-54,071",0,0,0,0,5
69053,St Bede The Venerable School,"99,182","67,380",0,"-67,380",0,0,0,0,5
69404,St Benedict High School G&B,"60,890","29,970",0,"-29,970",0,0,0,0,5
69054,St Benedict School,"102,769","86,046",0,"-86,046",0,0,0,0,5
69064,St Bruno School,"97,561","72,591",0,"-72,591",0,0,0,0,5
69074,St Christina School,0,"2,443",0,"-2,443",0,0,0,0,5
69082,St Constance School,"39,328","34,799",0,"-34,799",0,0,0,0,5
69083,St Cornelius School,"13,282",0,0,0,0,0,0,0,5
69091,St Dorothy School,"12,183",0,0,0,0,0,0,0,5
69092,St Edward School,"133,410","84,378",0,"-84,378",0,0,0,0,5
69093,St Elizabeth School,"140,855","18,585",0,"-18,585",0,0,0,0,5
69095,St Ethelreda School,"197,144","143,941",0,"-143,941",0,0,0,0,5
69098,St Ferdinand School,"167,725","113,567",0,"-113,567",0,0,0,0,5
69102,St Florian School,"34,771",0,0,0,0,0,0,0,5
69105,St Francis Borgia School,"20,418","7,204",0,"-7,204",0,0,0,0,5
69109,St Gabriel School,"123,946","84,350",0,"-84,350",0,0,0,0,5
69110,St Gall School,"101,184","32,589",0,"-32,589",0,0,0,0,5
69111,St Genevieve School,"138,026","91,018",0,"-91,018",0,0,0,0,5
69120,St Helen School,"117,394","83,177",0,"-83,177",0,0,0,0,5
69137,St Hyacinth,"18,188",0,0,0,0,0,0,0,5
69411,St Ignatius College Prep,"17,580",0,0,0,0,0,0,0,5
69148,St Jane De Chantal School,"40,102","30,495",0,"-30,495",0,0,0,0,5
69151,St Jerome School,"43,958","19,810",0,"-19,810",0,0,0,0,5
69154,St John Berchmans School,"49,690","28,430",0,"-28,430",0,0,0,0,5
69156,St John De La Salle School,"460,196","231,177",0,"-231,177",0,0,0,0,5
69158,St John Fisher School,"3,476",0,0,0,0,0,0,0,5
69328,St John Lutheran School,"54,555","30,376",0,"-30,376",0,0,0,0,5
69491,St Luke Lutheran School,"86,380","71,225",0,"-71,225",0,0,0,0,5
69180,St Malacy School,"319,178","166,000",0,"-166,000",0,0,0,0,5
69182,St Margaret Of Scotland School,"431,703","239,095",0,"-239,095",0,0,0,0,5
69181,St Margaret School,"60,356",0,0,0,0,0,0,0,5
69189,St Mary Of The Angels School,"32,594","30,286",0,"-30,286",0,0,0,0,5
69190,St Mary Of The Lake School,"244,985","142,210",0,"-142,210",0,0,0,0,5
69196,St Mary Of The Woods School,"6,598",0,0,0,0,0,0,0,5
69195,St Mary Star Of The Sea School,"45,935","76,531",0,"-76,531",0,0,0,0,5
69199,St Matthias School,"80,209","38,383",0,"-38,383",0,0,0,0,5
69204,St Michael School,"281,953","90,511",0,"-90,511",0,0,0,0,5
69210,St Nicholas Cathedral School,"39,369","180,200",0,"-180,200",0,0,0,0,5
69212,St Nicholas Of Tolentine School,"438,995","249,375",0,"-249,375",0,0,0,0,5
69236,St Pascal School,"130,607","64,186",0,"-64,186",0,0,0,0,5
69420,St Patrick High School - Boys,"148,944","65,375",0,"-65,375",0,0,0,0,5
69332,St Paul Lutheran School,"207,396","101,326",0,"-101,326",0,0,0,0,5
69245,St Philip Neri School,"485,833","306,627",0,"-306,627",0,0,0,0,5
69247,St Pius V,"122,559","70,319",0,"-70,319",0,0,0,0,5
69260,St Richard School,"84,723","91,562",0,"-91,562",0,0,0,0,5
69262,St Robert Bellarmine School,"99,746","59,484",0,"-59,484",0,0,0,0,5
69267,St Sabina School,"645,411","335,850",0,"-335,850",0,0,0,0,5
69277,St Stanislaus - Kosta,"75,693","34,012",0,"-34,012",0,0,0,0,5
69279,St Sylvester School,"98,121","19,825",0,"-19,825",0,0,0,0,5
69280,St Symphorosa School,"64,481","70,813",0,"-70,813",0,0,0,0,5
69285,St Therese School,"123,531","68,226",0,"-68,226",0,0,0,0,5
69288,St Thomas Of Canterbury School,"319,184","177,528",0,"-177,528",0,0,0,0,5
69286,St Thomas The Apostle School,"154,905","49,368",0,"-49,368",0,0,0,0,5
69292,St Turibius School,"31,165",0,0,0,0,0,0,0,5
69294,St Viator School,"110,246","76,547",0,"-76,547",0,0,0,0,5
69298,St Walter School,"49,680","36,494",0,"-36,494",0,0,0,0,5
69300,St William School,"129,614","79,811",0,"-79,811",0,0,0,0,5
69239,St. Agatha (PreK-3),"32,692",0,0,0,0,0,0,0,5
69113,St. Catherine of Siena - St. Lucy School,0,"30,102",0,"-30,102",0,0,0,0,5
69080,St. Columbanus School,"59,394","189,116",0,"-189,116",0,0,0,0,5
69071,St. Frances of Rome,"5,437",75,0,-75,0,0,0,0,5
69107,St. Francis de Sales HS,"39,030","1,989",0,"-1,989",0,0,0,0,5
69123,St. Hilary School,"87,742","56,566",0,"-56,566",0,0,0,0,5
69570,St. James Lutheran,"3,750","11,565",0,"-11,565",0,0,0,0,5
69081,St. Joseph School,"79,975","61,285",0,"-61,285",0,0,0,0,5
69168,St. Juliana School,"3,740","1,622",0,"-1,622",0,0,0,0,5
69337,St. Philip Lutheran,"2,240",350,0,-350,0,0,0,0,5
69281,St. Tarcissus School,0,"1,359",0,"-1,359",0,0,0,0,5
68060,Stagg Stadium,"18,825","36,555",0,"-36,555",0,0,0,0,5
29031,Stephen Decatur Classical School,"2,370,239","2,425,693","2,517,507","91,814",24,24.5,23,-1.5,5
31081,Stephen F Gale Community Academy,"4,508,342","4,483,529","4,342,127","-141,401",49.5,50,49.5,-0.5,5
23621,Stephen K Hayt School,"7,655,610","8,161,430","8,038,709","-122,721",79.5,81,85,4,5
46241,Stephen T Mather High School,"14,161,816","14,017,049","12,702,521","-1,314,528",140,132,121,-11,5
29291,Stone Scholastic Academy,"5,617,667","5,964,222","5,403,484","-560,738",56,56,57,1,5
11371,Student Support and Engagement,"13,840,996","11,994,632","14,320,659","2,326,027",23,18,17,-1,5
10875,Student Support and Engagement - City Wide,"8,134,366","8,865,617","7,841,849","-1,023,768",30,34,34,0,5
11870,Student Transportation Services,"4,908,560","4,711,211","3,505,213","-1,205,999",45,34,33,-1,5
26881,Suder Montessori Magnet School,"4,015,161","4,245,588","4,209,817","-35,771",51.5,52.5,54.5,2,5
49161,TEAM Englewood Community Academy,"3,841,591","2,921,870","2,532,812","-389,057",42,33.5,29,-4.5,5
11010,Talent Office,"9,684,205","14,124,083","15,336,768","1,212,685",72,72.2,77.2,5,5
26781,Talman School,"4,091,321","4,051,342","4,067,645","16,303",48,47.5,46,-1.5,5
26791,Tarkington School of Excellence,"7,809,064","7,899,580","7,495,011","-404,569",88.5,88.5,89,0.5,5
29361,Ted Lenart Regional Gifted Center,"2,458,237","2,391,655","2,328,642","-63,014",23,24,25,1,5
23231,Telpochcalli,"3,580,536","3,556,006","3,405,554","-150,452",39,35.5,35.5,0,5
69022,The Cambridge School,"102,667","54,042",0,"-54,042",0,0,0,0,5
66591,The Montessori School of Englewood Charter,"2,413,697","2,598,522","2,837,062","238,540",0,0,2,2,5
23771,Theodore Herzl School,"6,125,611","6,370,665","7,022,732","652,067",81,85.5,93,7.5,5
46271,Theodore Roosevelt High School,"12,025,400","12,326,817","10,833,147","-1,493,670",124.5,110,111,1,5
25391,Theophilus Schmid School,"2,413,434","2,325,930","2,339,562","13,632",25.5,25,27,2,5
29011,Thomas A Edison Regional Gifted Center,"2,346,769","2,254,747","2,244,724","-10,023",23.5,22,22,0,5
31121,Thomas A Hendricks Community Academy,"2,978,350","3,121,131","3,241,973","120,843",30.5,29.5,38,8.5,5
22671,Thomas Chalmers Specialty School,"3,707,883","3,482,643","3,255,032","-227,611",41,42,44,2,5
23021,Thomas Drummond Elementary School,"3,465,757","3,524,547","3,234,065","-290,482",40,40.5,37.5,-3,5
23871,Thomas Hoyne School,"2,612,154","2,445,863","2,426,864","-18,999",22,23.5,24,0.5,5
31251,Thomas J Higgins Community Academy,"3,445,606","3,243,743","2,800,427","-443,316",33.5,31.5,29,-2.5,5
25781,Thomas J Waters School,"4,394,639","4,613,661","4,355,908","-257,753",41.5,41,44,3,5
46181,Thomas Kelly High School,"23,555,728","20,742,829","17,591,164","-3,151,665",203.5,198.5,173,-25.5,5
41081,Thurgood Marshall Middle School,"1,660,275","564,164",0,"-564,164",17.5,16,0,-16,5
28271,Tilton Multiplex,"37,310","18,200",0,"-18,200",0,0,0,0,5
13740,Title I and School Improvement Programs,"650,167","1,129,932","374,998","-754,933",5,10,3,-7,5
13745,Title I and School Improvement Programs - City Wide,"461,179","1,006,221",0,"-1,006,221",4,0,0,0,5
12440,Treasury,"1,876,823","1,527,036","1,682,736","155,700",7,3,7,4,5
29041,Turner-Drew Language Academy,"3,302,530","2,982,384","2,941,583","-40,801",33,30,30,0,5
69055,UCAN,"89,782","120,057",0,"-120,057",0,0,0,0,5
66399,UNO 51st and Homan Charter Elementary School,"5,940,887","5,692,344","6,773,989","1,081,645",0,0,0,0,5
66392,UNO Charter School - Bartolom de las Casas Campus,"3,063,419","2,982,239","3,367,554","385,315",0,0,0,0,5
66393,UNO Charter School - Carlos Fuentes Campus,"6,006,269","5,822,270","6,567,368","745,098",0,0,0,0,5
66394,UNO Charter School - Major Hector P. Garcia MD Campus,"7,612,866","7,461,048","7,735,346","274,298",0,0,0,0,5
66133,UNO Charter School - Near West Elementary Campus,"6,094,462","5,838,361","6,694,524","856,163",0,0,0,0,5
66134,UNO Charter School - Northside Elementary Campus,"8,851,570","8,442,032","8,856,055","414,023",0,0,0,0,5
66131,UNO Charter School - Octavio Paz Campus,"4,419,240","4,020,974","4,856,072","835,098",0,0,0,0,5
66396,UNO Charter School - PFC Omar E. Torres Campus,"6,541,721","6,149,545","6,734,143","584,598",0,0,0,0,5
66391,UNO Charter School - Rufino Tamayo Campus,"3,123,297","3,008,293","3,400,495","392,202",0,0,0,0,5
66395,UNO Charter School - SPC Daniel Zizumbo Campus,"6,677,629","6,303,998","6,742,765","438,768",0,0,0,0,5
66398,UNO Charter School - Sandra Cisneros Campus,"6,047,701","5,705,971","6,593,694","887,724",0,0,0,0,5
66601,UNO Charter School - UNO Elementary School Campus .,"3,276,957","3,204,472","3,324,899","120,427",0,0,0,0,5
66602,UNO Charter School Network - 15 (Brighton Park),"6,011,078","5,942,049","6,848,908","906,859",0,0,0,0,5
66397,UNO Charter School- Officer Donald Marquez Campus,"6,050,444","6,010,026","6,754,630","744,604",0,0,0,0,5
69318,Unity Lutheran East,"58,189","57,594",0,"-57,594",0,0,0,0,5
69125,Unity Lutheran West,"49,101","42,204",0,"-42,204",0,0,0,0,5
66321,University of Chicago Charter School - Donoghue Campus,"4,752,374","4,601,264","5,331,118","729,854",4,3,3,0,5
66111,University of Chicago Charter School - North Kenwood/Oakland (NKO) Camp,"3,205,565","3,183,780","3,524,987","341,207",0,0,0,0,5
66112,University of Chicago Charter School - Woodlawn Campus,"7,219,869","6,854,598","6,873,048","18,450",6,6,5,-1,5
66113,University of Chicago Charter School - Woodson South Campus,"3,221,370","3,014,203","3,223,562","209,359",4,4,4,0,5
69157,University of Chicago Lab,0,"4,180",0,"-4,180",0,0,0,0,5
26861,Uplift Community High School,"3,794,046","3,978,280","3,742,418","-235,862",41.5,44.5,44.5,0,5
69188,Urban Prairie Waldorf,0,"13,955",0,"-13,955",0,0,0,0,5
66441,Urban Prep Academy for Young Men Charter School-Englewood Campus,"5,057,372","3,716,493","3,905,788","189,295",0,0,0,0,5
66442,Urban Prep Charter Academy for Young Men High School - Bronzeville Camp,"4,616,294","4,170,356","3,939,411","-230,945",2,2,2,0,5
63071,Urban Prep Charter Academy for Young Men High School - West Campus,"3,929,218","3,120,517","3,063,356","-57,161",2,2,2,0,5
46621,VOISE Academy High School,"2,098,966","3,966,771","3,656,945","-309,826",21,37,45,8,5
26891,Velma Thomas Early Childhood Center,"2,765,533","2,818,327","2,984,710","166,383",32.5,33.5,34.5,1,5
69032,Village Leadership Academy,"293,394","65,981",0,"-65,981",0,0,0,0,5
23361,Virgil Grissom School,"3,099,149","3,245,870","3,239,734","-6,136",30,29.8,33,3.2,5
69296,Visitation Campus School,"230,566","112,023",0,"-112,023",0,0,0,0,5
29401,Walt Disney Magnet School,"12,939,514","13,144,768","11,734,093","-1,410,675",133,130,129.5,-0.5,5
46681,Walter Henri Dyett High School for the Arts,0,"2,483,911","3,328,690","844,779",0,21,34,13,5
29231,Walter L Newberry Mathematics & Science Academy,"5,581,065","5,692,863","5,407,532","-285,331",56,59,59.5,0.5,5
70020,Walter Payton College Preperatory HS,"8,522,167","9,894,323","8,745,717","-1,148,605",82.2,85.8,89.9,4.1,5
23451,Walter Q Gresham Elementary School,"3,252,051","3,193,463","3,189,661","-3,802",40.5,39,39,0,5
30031,Walter S Christopher School,"7,468,209","8,084,542","7,364,897","-719,644",88,99,94,-5,5
25401,Washington D Smyser School,"7,548,282","7,637,549","7,470,009","-167,540",77,77,76,-1,5
24881,Washington Irving School,"4,880,484","4,700,150","4,182,549","-517,601",54,54,47,-7,5
24811,Wells Preparatory School,"4,175,121","4,053,186","3,505,504","-547,682",42,37,35,-2,5
24131,Wendell E Green,"3,633,424","3,922,846","3,595,303","-327,543",34.5,36,34,-2,5
46261,Wendell Phillips Academy,"7,147,399","6,817,004","5,938,302","-878,702",77,76,70,-6,5
23641,Wendell Smith,"3,565,485","3,596,797","3,208,041","-388,757",39,39,35,-4,5
24721,West Park Academy,"5,293,402","5,376,266","5,308,697","-67,570",55,53,53,0,5
22381,West Ridge Elementary School,"6,478,691","6,824,447","6,948,344","123,897",66,68.5,75,6.5,5
47101,Whitney M Young Magnet High School,"17,436,828","17,899,161","16,729,543","-1,169,618",170,160.5,165,4.5,5
25881,Wildwood School,"4,345,657","4,329,658","4,138,279","-191,378",45,44.5,44,-0.5,5
26021,Willa Cather School,"3,918,536","4,003,244","3,779,234","-224,010",40.5,36,40,4,5
24732,William B Ogden Branch,0,500,0,-500,0,0,0,0,5
24731,William B Ogden School,"13,066,788","13,726,159","13,460,648","-265,511",149.7,145,152.5,7.5,5
29241,William Bishop Owen Scholastic Academy School,"2,689,604","2,757,861","2,756,678","-1,183",26.5,26.5,26.5,0,5
23371,William C Goudy School,"6,680,588","6,435,490","6,065,984","-369,506",69.5,66,62.5,-3.5,5
25091,William Claude Reavis School,"2,864,876","2,641,997","2,522,188","-119,809",29.5,31,29,-2,5
26601,William E B Dubois School,"2,486,353","2,648,766","2,830,748","181,982",27,27,28.5,1.5,5
22941,William E Dever School,"6,319,453","6,121,363","6,094,197","-27,167",64.5,65.5,65.5,0,5
23541,William F Finkl,"4,360,178","4,183,381","4,132,693","-50,687",48.5,47,48,1,5
23801,William G Hibbard School,"9,373,379","8,916,642","8,077,890","-838,752",98,91,83.5,-7.5,5
22351,William H Brown Elementary School,"3,415,133","3,808,888","3,775,087","-33,800",34.5,38.5,42.5,4,5
24031,William H King School,372,471,0,-471,0,0,0,0,5
25021,William H Prescott School,"3,099,881","3,325,923","3,482,300","156,377",31.5,32.5,36.5,4,5
25071,William H Ray School,"6,177,570","6,383,061","6,030,399","-352,661",63,68,65.8,-2.2,5
25191,William H Ryder Math/Science Specialty School,"4,664,187","4,681,390","4,737,920","56,530",44.5,56,54,-2,5
25301,William H Seward Communication Arts Academy,"6,878,749","6,394,839","6,182,240","-212,599",70.5,67,65.5,-1.5,5
51071,William H Wells Community Academy High School,"6,102,098","5,153,674","4,790,806","-362,867",66,55.5,48.5,-7,5
46311,William Howard Taft High School,"24,860,890","25,640,147","24,468,861","-1,171,286",246,247,251,4,5
46041,William J Bogan Computer Technical High School,"10,003,950","9,157,882","8,675,971","-481,911",99.3,94,92,-2,5
24761,William J Onahan School,"4,779,579","5,030,488","4,700,782","-329,707",46,46,46,0,5
47021,William Jones College Prep High School,"13,333,975","14,343,535","13,859,461","-484,074",139,148,152.6,4.6,5
25541,William K Sullivan Specialty School,"5,413,633","5,134,482","5,208,553","74,072",55.5,55,56,1,5
23401,William P Gray School,"10,035,596","10,005,015","9,375,276","-629,739",104,102,97,-5,5
24681,William P Nixon School,"7,708,736","7,238,594","6,495,556","-743,039",76,72,66,-6,5
24911,William Penn School,"4,297,939","4,342,578","4,111,608","-230,971",51,47.5,48.5,1,5
25341,William T. Sherman Elementary School of Excellence,"2,989,476","2,782,942","2,551,346","-231,596",37,38,31,-7,5
22611,William W Carter School,"3,463,197","3,349,225","3,181,100","-168,124",41,38,36,-2,5
30121,Wilma G Rudolph Learning Center,"3,630,983","3,606,717","3,780,695","173,978",41.5,45.5,45.5,0,5
68030,Winnemac Park Stadium,0,"27,490",0,"-27,490",0,0,0,0,5
69333,Wolcott School,0,"2,400",0,"-2,400",0,0,0,0,5
24611,Wolfgang A Mozart School,"6,630,106","6,429,773","5,985,597","-444,176",67,68,63,-5,5
23631,Woodlawn Community,"2,009,310","1,936,781","1,907,198","-29,583",19,18.5,18.5,0,5
28071,Woodson South Multiplex,"39,382",0,0,0,0,0,0,0,5
52011,World Language High School (at Little Village),"3,569,407","3,727,377","3,576,934","-150,443",34.5,37,33,-4,5
66108,YCCS - ASPIRA Antonia Pantoja Alternative HS,0,"1,000",0,"-1,000",0,0,0,0,5
66107,YCCS - Ada S McKinley - Lakeside HS,0,"40,063","57,358","17,295",0,0,2,2,5
66614,YCCS - Community Youth Development Institute HS,0,"15,856","36,673","20,817",0,0,1,1,5
66617,YCCS - Innovations of Arts Integration HS,0,"32,549","72,783","40,234",0,0,2,2,5
66618,YCCS - Jane Addams Alternative HS,"7,426","31,843","54,519","22,676",0,1,2,1,5
66623,YCCS - Sullivan House Alternative HS,0,"16,550","33,139","16,589",0,0,1,1,5
66627,YCCS - West Town Academy Alternative HS,"15,194","39,198","61,589","22,391",0,1,2,1,5
66629,YCCS - Youth Connection Leadership Academy HS,0,"28,325","64,546","36,221",0,0,2,2,5
69539,Yeshiva Netzach Eliyahu,"12,549",0,0,0,0,0,0,0,5
69047,Yeshiva Ohr Baruch,"70,574","47,818",0,"-47,818",0,0,0,0,5
69004,Yeshivas Meor HaTorah of Chicago,"2,981",0,0,0,0,0,0,0,5
69442,Yeshivas Tiferes TZVI,"150,490","136,990",0,"-136,990",0,0,0,0,5
66171,Young Women's Leadership Charter School,"4,049,033","3,071,091","3,374,484","303,393",2,2,2,0,5
66101,Youth Connection Charter School (YCCS),"47,360,221","48,356,708","49,130,164","773,456",15,8,0,-8,5
22781,Zenos Colman School,"49,752","16,301",0,"-16,301",0,0,0,0,5
Grand Total,,"5,691,824,489","5,411,234,428","5,699,292,585","271,058,156","38,359.00","37,083.20","36,511.40",-571.8,
