oracle_id,school_name,FY 2017 Ending Budget
25571,George B Swift Specialty School,6049315
22651,George F Cassell School,4314567
46391,George Henry Corliss High School,5540143
26391,George Leland Elementary School,5462163
25041,George M Pullman School,3413060
24311,George Manierre School,4692515
22191,George Rogers Clark Elementary School,2747940
26071,George T Donoghue School,10352
23061,George W Curtis Elementary School,5082856
25621,George W Tilton School,3614324
22621,George Washington Carver Elementary,5167381
46331,George Washington High School,12888310
25771,George Washington School,7012897
53071,George Westinghouse Career Academy,10370053
29071,Gerald Delgado Kanoon Magnet School,5633533
69311,Gloria Dei Lutheran School,15122
69569,Grace English Lutheran,40116
69313,Grace Lutheran School,77143
12620,Grant Funded Programs Office,1822028
12625,Grant Funded Programs Office - City Wide,1088539
66951,Great Lakes Academy Charter School,2680474
22741,Grover Cleveland School,6482423
46341,Gurdon S Hubbard High School,16741626
47051,Gwendolyn Brooks,8779490
69368,Hales Franciscan High School-B,4655
46021,Hancock High School,8207701
69141,Hanna Sachs Bias Yaakov High School Of Chicago,106790
25431,Hannah G Solomon School,3894599
68020,Hansen Park Stadium,31231
24461,Hanson Park School,14917728
51021,Harlan Community Academy High School,6872795
24921,Harold Washington School,3820722
46151,Harper High School,3616671
25521,Harriet Beecher Stowe School,6792013
29271,Harriet E Sayre Language Academy,3757763
29131,Hawthorne Scholastic Academy,5202952
11953,Hayes,7607
50061,Hayes APC,8632
24891,Helen C Peirce School Of International Studies,8368058
23711,Helen M Hefferan School,3960989
23591,Helge A Haugan,8540331
22731,Henry Clay Elementary School,5488687
24221,Henry D Lloyd School,9070171
24641,Henry H Nash School,3087698
26281,Henry O Tanner School,3803746
22761,Henry R Clissold School,5022891
25441,Herbert Spencer Math & Science Academy,6610243
69595,Hillel Torah,36177
22221,Hiram H Belding School,4801643
69124,Holy Angels School,70789
69478,Holy Family Lutheran,180549
69372,Holy Trinity High School,64121
49091,Hope College Prep HS,3088179
63031,Hope Institute Learning Academy,4408179
22661,Horace Greeley School,5590855
24331,Horace Mann School,5335335
63181,Horizon Science Academy - Southwest Chicago Charter,7811498
66521,Howland Multiplex,9796
22451,Hughes/Davis,5906495
11070,Human Capital Office - City Wide,7489404
69506,Humboldt Community Christian S Chool,108617
46171,Hyde Park Career Academy,8565506
45221,Hyman G. Rickover Naval Academy,5715956
69537,ICC Full Time School,6908
69361,Ida Crown Jewish Academy High School,31959
69139,Immaculate Conception School,80422
70140,Independent Schools Of Chicago,686701
55151,Infinity Math,4415800
12510,Information & Technology Services,82747665
13610,Innovation and Incubation Office,2146200
10320,Inspector General,2202129
63131,Instituto Health Sciences Career Academy,9080841
63132,Instituto Justice and Leadership Academy Charter HS,1165468
11551,Instructional Supports,11519944
29191,Inter-American Magnet,6170082
10450,Intergovernmental Affairs,1232552
66691,Intrinsic School,11729728
22641,Ira F Aldridge Elementary School,1835859
22441,Irene C. Hernandez Middle School for the Advancement of the Sciences,8053943
24931,Irma C Ruiz School,6859123
26251,Irvin C Mollison School,4091074
24751,Isabell C O'Keeffe School,5516694
69010,Islamic Community Center of IL,13429
23341,J W Von Goethe School,6327653
5261,JROTC Department,2035888
26061,Jackie R Robinson,1825734
22211,Jacob Beidler School,4254673
49081,Jacqueline B Vaughn Occupational High School,5108268
23161,James B Farnsworth School,6440159
24471,James B Mcpherson Elementary School,8514878
29181,James E Mcdade Classical School,1937148
22261,James G Blaine School,7269437
23681,James Hedges School Main,6341902
24301,James Madison School,2750066
24531,James Monroe School,7813654
25601,James N Thorp Elementary School,3960580
24791,James Otis School,5650317
