,NAME,pov_rate,tot_hhld,tot_hhld_int,unemp_rate_25_64,state,county,tract,internet_rate,emp_rate_25_64,above_pov_rate
399,"Census Tract 8525, Kane County, Illinois",5.2,2582,2305,6.1,17,089,852500,89.27188226181255,93.9,94.8
400,"Census Tract 8529.04, Kane County, Illinois",22.2,656,512,12.9,17,089,852904,78.04878048780488,87.1,77.8
401,"Census Tract 8541, Kane County, Illinois",15.4,1322,1024,11.0,17,089,854100,77.45839636913767,89.0,84.6
402,"Census Tract 8545.01, Kane County, Illinois",2.1,5090,4755,5.3,17,089,854501,93.41846758349706,94.7,97.9
403,"Census Tract 8507.01, Kane County, Illinois",4.0,7103,6677,2.5,17,089,850701,94.00253414050401,97.5,96.0
404,"Census Tract 8520.03, Kane County, Illinois",2.5,3045,2539,3.6,17,089,852003,83.38259441707717,96.4,97.5
405,"Census Tract 8524.02, Kane County, Illinois",2.8,2658,2520,3.6,17,089,852402,94.80812641083521,96.4,97.2
406,"Census Tract 8502.01, Kane County, Illinois",18.8,1013,920,0.6,17,089,850201,90.81934846989141,99.4,81.2
407,"Census Tract 32.02, Sangamon County, Illinois",4.9,1682,1506,4.4,17,167,003202,89.53626634958383,95.6,95.1
408,"Census Tract 36.02, Sangamon County, Illinois",3.3,1874,1657,3.3,17,167,003602,88.4204909284952,96.7,96.7
409,"Census Tract 1, Sangamon County, Illinois",20.3,1690,1004,6.8,17,167,000100,59.408284023668635,93.2,79.7
