crdc_id,ncessch,year,fips,leaid,enrollment_crdc,teachers_certified_fte_crdc,counselors_fte_crdc,law_enforcement_fte_crdc,salaries_crdc,enrl_AP_crdc,enrl_AP_science_crdc,enrl_AP_math_crdc,enrl_AP_other_crdc,enrl_AP_language_crdc
173093003221,173093003221,2017,Illinois,1730930,286,26.000,1.000,1.000,1632816.250,0,0,0,0,0
173093004789,173093004789,2017,Illinois,1730930,329,28.000,0.000,1.000,1612370.750,0,0,0,0,0
173099003225,173099003225,2017,Illinois,1730990,312,23.000,0.000,0.250,865140.000,0,0,0,0,0
173099003226,173099003226,2017,Illinois,1730990,249,21.000,1.000,0.250,863526.375,0,0,0,0,0
173102003227,173102003227,2017,Illinois,1731020,135,12.450,0.500,0.000,730680.000,2,0,2,0,0
173102004790,173102004790,2017,Illinois,1731020,243,18.330,0.250,0.000,1161370.375,0,0,0,0,0
173102004791,173102004791,2017,Illinois,1731020,68,5.340,0.250,0.000,398531.000,0,0,0,0,0
173105003228,173105003228,2017,Illinois,1731050,330,25.000,0.000,0.000,1628485.000,0,0,0,0,0
173105003229,173105003229,2017,Illinois,1731050,253,20.000,1.000,0.000,1480328.250,28,9,12,12,0
173105005648,173105005648,2017,Illinois,1731050,292,20.000,1.000,0.000,1197460.250,0,0,0,0,0
173108003230,173108003230,2017,Illinois,1731080,384,27.430,1.000,0.000,1872680.125,0,0,0,0,0
173108003231,173108003231,2017,Illinois,1731080,249,14.000,0.330,0.000,1310790.500,0,0,0,0,0
173108003233,173108003233,2017,Illinois,1731080,354,25.000,1.000,0.000,2370490.750,0,0,0,0,0
173108003234,173108003234,2017,Illinois,1731080,332,20.000,0.330,0.000,1650182.875,0,0,0,0,0
173108003235,173108003235,2017,Illinois,1731080,292,18.000,0.330,0.000,1516837.750,0,0,0,0,0
173108003236,173108003236,2017,Illinois,1731080,638,36.000,1.000,0.000,2615153.000,0,0,0,0,0
173108003237,173108003237,2017,Illinois,1731080,209,14.000,0.330,0.000,1258939.625,0,0,0,0,0
173108003238,173108003238,2017,Illinois,1731080,189,10.000,0.330,0.000,966826.562,0,0,0,0,0
173108004905,173108004905,2017,Illinois,1731080,210,10.000,0.000,0.000,-2.000,0,0,0,0,0
173108005048,173108005048,2017,Illinois,1731080,188,11.000,0.330,0.000,1035723.063,0,0,0,0,0
173108005189,173108005189,2017,Illinois,1731080,567,32.000,1.000,0.000,2248037.500,0,0,0,0,0
173111003245,173111003245,2017,Illinois,1731110,1821,114.670,7.000,1.000,6878388.000,227,45,72,178,0
173114003248,173114003248,2017,Illinois,1731140,175,15.000,0.000,0.000,1605944.625,0,0,0,0,0
173120003250,173120003250,2017,Illinois,1731200,430,31.000,0.000,0.000,2364122.750,0,0,0,0,0
173123000593,173123000593,2017,Illinois,1731230,433,23.000,0.000,0.000,-2.000,0,0,0,0,0
173123000973,173123000973,2017,Illinois,1731230,298,14.340,0.200,0.000,964545.500,0,0,0,0,0
173123003259,173123003259,2017,Illinois,1731230,411,30.660,0.000,0.000,2052696.000,0,0,0,0,0
173123003262,173123003262,2017,Illinois,1731230,904,68.830,1.000,0.000,3681124.500,0,0,0,0,0
173123003265,173123003265,2017,Illinois,1731230,509,42.330,1.000,0.000,2513977.750,0,0,0,0,0
173123003266,173123003266,2017,Illinois,1731230,446,31.500,0.000,0.000,2174309.750,0,0,0,0,0
173123003268,173123003268,2017,Illinois,1731230,772,56.000,2.000,0.000,3371557.750,0,0,0,0,0
173123003269,173123003269,2017,Illinois,1731230,397,28.000,0.000,0.000,2084685.125,0,0,0,0,0
173123003274,173123003274,2017,Illinois,1731230,777,62.240,4.000,0.000,4397530.500,138,42,38,100,0
173123003276,173123003276,2017,Illinois,1731230,358,26.000,0.000,0.000,1841976.250,0,0,0,0,0
173123003278,173123003278,2017,Illinois,1731230,1351,88.650,4.000,0.000,6219207.500,494,62,33,457,0
173123003280,173123003280,2017,Illinois,1731230,1217,80.640,4.000,0.000,6310984.000,447,58,70,395,0
173123003281,173123003281,2017,Illinois,1731230,83,11.000,0.000,0.000,867081.750,0,0,0,0,0
173123003283,173123003283,2017,Illinois,1731230,605,49.000,1.000,0.000,2850788.000,0,0,0,0,0
173123003286,173123003286,2017,Illinois,1731230,422,40.650,0.000,0.000,2802208.750,0,0,0,0,0
173123003293,173123003293,2017,Illinois,1731230,305,21.400,0.000,0.000,1336899.125,0,0,0,0,0
173123003294,173123003294,2017,Illinois,1731230,403,30.000,0.000,0.000,2083872.500,0,0,0,0,0
173123004422,173123004422,2017,Illinois,1731230,372,25.850,0.000,0.000,1531502.375,0,0,0,0,0
173123005324,173123005324,2017,Illinois,1731230,300,25.650,0.500,0.000,2578579.500,0,0,0,0,0
173123005325,173123005325,2017,Illinois,1731230,419,32.170,1.000,0.000,2264862.250,0,0,0,0,0
173123005326,173123005326,2017,Illinois,1731230,278,26.080,0.800,0.000,1370105.125,0,0,0,0,0
173123005329,173123005329,2017,Illinois,1731230,362,27.600,1.000,0.000,1546682.125,0,0,0,0,0
173123005332,173123005332,2017,Illinois,1731230,258,24.100,1.000,0.000,1584285.500,0,0,0,0,0
173123005336,173123005336,2017,Illinois,1731230,227,17.850,0.000,0.000,1131235.625,0,0,0,0,0
173123005846,173123005846,2017,Illinois,1731230,55,11.000,0.000,0.000,1110483.250,0,0,0,0,0
173123005961,173123005961,2017,Illinois,1731230,122,12.000,0.000,0.000,565509.500,0,0,0,0,0
