year,date,statefips,countyfips,ctfips,latitude,longitude,ds_pm_pred,ds_pm_stdd
2016,05JAN2016,17,43,17043844902,41.7944,-88.02246,11.5755,9.1182
2016,05JAN2016,17,31,17031820103,41.79451,-87.87311,11.5022,8.465
2016,05JAN2016,17,43,17043845000,41.79535,-87.97553,11.8949,8.9095
2016,05JAN2016,17,31,17031620200,41.79553,-87.72911,11.1525,8.2724
2016,05JAN2016,17,89,17089853001,41.79562,-88.36273,11.8527,9.9381
2016,05JAN2016,17,31,17031560900,41.79574,-87.79155,11.6488,8.722
2016,05JAN2016,17,31,17031560800,41.79621,-87.77212,11.2392,8.1899
2016,05JAN2016,17,31,17031560700,41.79645,-87.75747,11.6641,8.493
2016,05JAN2016,17,31,17031835200,41.79664,-87.74522,11.2979,8.2334
2016,05JAN2016,17,31,17031819802,41.79721,-87.89489,11.5376,8.2144
2016,05JAN2016,17,31,17031410900,41.79723,-87.58241,10.9239,7.3959
